Arrival rate1H,Finish rate1H,Num of unique resource1H,Process active time1H,Service time per case1H,Time in process per case1H,Waiting time in process per case1H,Num in process case1H
1,1,2,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.0,1.0
1,1,2,0.6833333333333333,1.3666666666666667,0.6833333333333333,0.0,1.0
1008,20,6,563.05,0.2083333333333334,9.384166666666664,9.175833333333333,533.0
1343,21,6,1572.7000000000005,0.2430555555555557,26.21166666666667,25.968611111111112,1166.0
1,695,6,0.0,0.0,0.0,0.0,1146.0
1344,20,6,1954.3166666666668,0.14833333333333334,32.571944444444455,32.423611111111114,1795.0
1,20,6,0.0,0.0,0.0,0.0,1755.0
671,29,6,731.4666666666666,0.08527777777777777,12.191111111111107,12.105833333333333,1591.0
1343,59,6,2.1333333333333333,0.03555555555555556,0.03555555555555556,0.0,1580.0
1,20,6,0.0,0.0,0.0,0.0,1522.0
1343,1367,6,2.9,0.04833333333333333,0.04833333333333333,0.0,1538.0
1344,73,6,2.583333333333333,0.04305555555555555,0.04305555555555555,0.0,1515.0
1344,58,6,3.3,0.055,0.055,0.0,1460.0
1,20,6,0.0,0.0,0.0,0.0,1382.0
671,34,6,1.7833333333333332,0.02972222222222222,0.02972222222222222,0.0,1119.0
1343,79,6,4.616666666666666,0.07694444444444444,0.07694444444444444,0.0,1123.0
1,20,6,0.0,0.0,0.0,0.0,1045.0
1343,60,6,1.7666666666666666,0.029444444444444443,0.029444444444444443,0.0,1044.0
1,21,6,0.0,0.0,0.0,0.0,985.0
1,20,6,0.0,0.0,0.0,0.0,965.0
672,40,6,2.8166666666666664,0.046944444444444434,0.046944444444444434,0.0,945.0
1,20,6,0.0,0.0,0.0,0.0,625.0
1343,58,6,2.283333333333333,0.03805555555555555,0.03805555555555555,0.0,622.0
1,20,6,0.0,0.0,0.0,0.0,565.0
1343,69,6,2.3,0.03833333333333333,0.03833333333333333,0.0,573.0
1,21,6,0.0,0.0,0.0,0.0,505.0
1,20,6,0.0,0.0,0.0,0.0,485.0
672,29,6,1.5,0.025,0.025,0.0,454.0
1,20,6,0.0,0.0,0.0,0.0,145.0
1344,81,6,3.283333333333333,0.05472222222222222,0.05472222222222222,0.0,166.0
1008,52,6,3.05,0.050833333333333335,0.050833333333333335,0.0,97.0
1343,1879,6,3.5166666666666666,0.058611111111111114,0.058611111111111114,0.0,75.0
1828,24,6,2.0166666666666666,0.03666666666666667,0.03666666666666667,0.0,24.0
